run_id,created_at,run_root,best_model,best_mae,best_rmse,experiment_goal,decision_action,hypothesis_summary,suggest_new_idea,html_path,report_path,manifest_path
20260319_134508_smoke_ratio05,2026-03-19T05:45:15.174546+00:00,runs/20260319_134508_smoke_ratio05,text_baseline,0.18478477001190186,0.23866532742977142,,,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,,experiments/records/20260319_134508_smoke_ratio05.md,experiments/manifests/20260319_134508_smoke_ratio05.json
20260319_142904_process_doc_smoke,2026-03-19T06:29:11.377703+00:00,runs/20260319_142904_process_doc_smoke,text_baseline,0.1760059893131256,0.23142583668231964,检查单模型 tracked 实验是否能完整记录过程与决策。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,,experiments/records/20260319_142904_process_doc_smoke.md,experiments/manifests/20260319_142904_process_doc_smoke.json
20260319_143055_process_doc_smoke_v2,2026-03-19T06:31:02.738632+00:00,runs/20260319_143055_process_doc_smoke_v2,text_baseline,0.17285220324993134,0.21889306604862213,确认过程文档中的耗时和异常计数准确。,继续，但先做诊断,H1=部分支持; H2=证据不足; H3=证据不足; H4=证据不足,False,experiments/html/20260319_143055_process_doc_smoke_v2.html,experiments/records/20260319_143055_process_doc_smoke_v2.md,experiments/manifests/20260319_143055_process_doc_smoke_v2.json
20260319_172516_ratio_sweep_ratio_30,2026-03-19T09:25:48.102934+00:00,runs/20260319_172516_ratio_sweep_ratio_30,affect_state_forecaster,0.11748461425304413,0.1697823405265808,验证四个模型在 observation ratio 30 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=部分支持; H4=证据不足,False,experiments/html/20260319_172516_ratio_sweep_ratio_30.html,experiments/records/20260319_172516_ratio_sweep_ratio_30.md,experiments/manifests/20260319_172516_ratio_sweep_ratio_30.json
20260319_172549_ratio_sweep_ratio_50,2026-03-19T09:26:21.323541+00:00,runs/20260319_172549_ratio_sweep_ratio_50,affect_state_forecaster,0.11735665053129196,0.17294029891490936,验证四个模型在 observation ratio 50 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172549_ratio_sweep_ratio_50.html,experiments/records/20260319_172549_ratio_sweep_ratio_50.md,experiments/manifests/20260319_172549_ratio_sweep_ratio_50.json
20260319_172622_ratio_sweep_ratio_70,2026-03-19T09:26:55.076348+00:00,runs/20260319_172622_ratio_sweep_ratio_70,affect_state_forecaster,0.14562983810901642,0.19177478551864624,验证四个模型在 observation ratio 70 下对 future_neg_ratio 的预测表现。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172622_ratio_sweep_ratio_70.html,experiments/records/20260319_172622_ratio_sweep_ratio_70.md,experiments/manifests/20260319_172622_ratio_sweep_ratio_70.json
20260319_172746_cross_event_charliehebdo,2026-03-19T09:28:19.159951+00:00,runs/20260319_172746_cross_event_charliehebdo,affect_state_forecaster,0.14312565326690674,0.19114930927753448,验证 held-out event=charliehebdo 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172746_cross_event_charliehebdo.html,experiments/records/20260319_172746_cross_event_charliehebdo.md,experiments/manifests/20260319_172746_cross_event_charliehebdo.json
20260319_172820_cross_event_ebola_essien,2026-03-19T09:28:53.062759+00:00,runs/20260319_172820_cross_event_ebola_essien,temporal_baseline,0.05972917005419731,0.0698486864566803,验证 held-out event=ebola-essien 时各模型的 cross-event 泛化能力。,继续主线,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172820_cross_event_ebola_essien.html,experiments/records/20260319_172820_cross_event_ebola_essien.md,experiments/manifests/20260319_172820_cross_event_ebola_essien.json
20260319_172854_cross_event_ferguson,2026-03-19T09:29:26.328275+00:00,runs/20260319_172854_cross_event_ferguson,temporal_baseline,0.11054041236639023,0.14183148741722107,验证 held-out event=ferguson 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172854_cross_event_ferguson.html,experiments/records/20260319_172854_cross_event_ferguson.md,experiments/manifests/20260319_172854_cross_event_ferguson.json
20260319_172927_cross_event_germanwings_crash,2026-03-19T09:29:59.939583+00:00,runs/20260319_172927_cross_event_germanwings_crash,structure_baseline,0.11534101516008377,0.2253800630569458,验证 held-out event=germanwings-crash 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_172927_cross_event_germanwings_crash.html,experiments/records/20260319_172927_cross_event_germanwings_crash.md,experiments/manifests/20260319_172927_cross_event_germanwings_crash.json
20260319_173001_cross_event_ottawashooting,2026-03-19T09:30:33.253535+00:00,runs/20260319_173001_cross_event_ottawashooting,temporal_baseline,0.12836137413978577,0.17434574663639069,验证 held-out event=ottawashooting 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=部分支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173001_cross_event_ottawashooting.html,experiments/records/20260319_173001_cross_event_ottawashooting.md,experiments/manifests/20260319_173001_cross_event_ottawashooting.json
20260319_173034_cross_event_prince_toronto,2026-03-19T09:31:07.285027+00:00,runs/20260319_173034_cross_event_prince_toronto,structure_baseline,0.08739369362592697,0.096623994410038,验证 held-out event=prince-toronto 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=支持; H2=不支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173034_cross_event_prince_toronto.html,experiments/records/20260319_173034_cross_event_prince_toronto.md,experiments/manifests/20260319_173034_cross_event_prince_toronto.json
20260319_173108_cross_event_putinmissing,2026-03-19T09:31:41.160344+00:00,runs/20260319_173108_cross_event_putinmissing,text_baseline,0.0964931771159172,0.12905849516391754,验证 held-out event=putinmissing 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=部分支持; H2=不支持; H3=不支持; H4=证据不足,True,experiments/html/20260319_173108_cross_event_putinmissing.html,experiments/records/20260319_173108_cross_event_putinmissing.md,experiments/manifests/20260319_173108_cross_event_putinmissing.json
20260319_173142_cross_event_sydneysiege,2026-03-19T09:32:14.805959+00:00,runs/20260319_173142_cross_event_sydneysiege,affect_state_forecaster,0.11327497661113739,0.18678252398967743,验证 held-out event=sydneysiege 时各模型的 cross-event 泛化能力。,继续，但先做诊断,H1=部分支持; H2=支持; H3=支持; H4=证据不足,False,experiments/html/20260319_173142_cross_event_sydneysiege.html,experiments/records/20260319_173142_cross_event_sydneysiege.md,experiments/manifests/20260319_173142_cross_event_sydneysiege.json
